ticket_id,opened_at,asset,symbol,lane_bias,opportunity,status,decision,candidate_size_usd,checkpoints,entry_mark,entry_source,support_state,required_record,next_step
lane-btc-btc-1971905-event-crypto-hedge,2026-06-08T11:10:42+00:00,BTC,BTC,long,btc_1971905_event_crypto_hedge,event_crypto_hedge_after_refresh_candidate,paper_long,100,"15m,1h",63419.000000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-label BTC paper_long around event market 'Strait of Hormuz traffic returns to normal by end of June?' with event timestamp, funding, spread/depth, beta attribution, and failure regime"
lane-btc-btc-2176262-event-crypto-hedge,2026-06-08T11:10:42+00:00,BTC,BTC,long,btc_2176262_event_crypto_hedge,event_crypto_hedge_after_refresh_candidate,paper_long,100,"15m,1h",63419.000000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-label BTC paper_long around event market 'Strait of Hormuz traffic returns to normal by July 31?' with event timestamp, funding, spread/depth, beta attribution, and failure regime"
lane-btc-btc-event-pressure-cluster,2026-06-08T10:44:03+00:00,BTC,BTC,neutral,btc_event_pressure_cluster,multi_source_event_pressure,paper_observe,100,"4h,12h",63419.000000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"label BTC event-pressure cluster over 15m/1h/4h, then check duplicate sources, funding, depth, and execution cost"
lane-btc-btc-20260612-short-dated-delta-hedge-check,2026-06-08T11:10:42+00:00,BTC,BTC,short,btc_20260612_short_dated_delta_hedge_check,paper_delta_hedge_candidate,paper_short,100,"15m,1h",63419.000000000000,hl_execution_context,mechanics_unvalidated,lane mark move and independent evidence for this hypothesis,"validate BTC mechanics, venue access, unwind path, and stale-price risk"
lane-btc-mstr-btc-relative-value,2026-06-08T10:44:03+00:00,BTC,BTC,relative_value,mstr_btc_relative_value,paper_relative_value_watch,paper_observe,100,"15m,1h",63419.000000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"label MSTR/BTC relative returns around BTC-purchase news and compare against borrow, spread, and hedge slippage"
lane-btc-btc-2241674-event-crypto-hedge,2026-06-08T11:10:42+00:00,BTC,BTC,long,btc_2241674_event_crypto_hedge,event_crypto_hedge_news_gap_candidate,paper_long,100,"15m,1h",63419.000000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-label BTC paper_long around event market 'Israel closes its airspace by June 30?' with event timestamp, funding, spread/depth, beta attribution, and failure regime"
lane-btc-btc-risk-off-short-stack,2026-06-08T10:44:03+00:00,BTC,BTC,short,btc_risk_off_short_stack,paper_watch,paper_short,100,"4h,12h",63419.000000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,label 4h/12h/24h BTC outcomes when ETF/funding short watch overlaps macro and speculative-beta risk-off pressure
lane-btc-btc-26mar27-basis,2026-06-08T10:44:03+00:00,BTC,BTC,relative_value,btc-26mar27_basis,paper_short_basis_watch,paper_observe,100,"15m,1h",63419.000000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"check BTC-26MAR27 hedge route, fees, margin, funding, and order-book depth"
lane-eth-eth-1971905-event-crypto-hedge,2026-06-08T11:10:42+00:00,ETH,ETH,long,eth_1971905_event_crypto_hedge,event_crypto_hedge_after_refresh_candidate,paper_long,100,"15m,1h",1668.900000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-label ETH paper_long around event market 'Strait of Hormuz traffic returns to normal by end of June?' with event timestamp, funding, spread/depth, beta attribution, and failure regime"
lane-eth-eth-2176262-event-crypto-hedge,2026-06-08T11:10:42+00:00,ETH,ETH,long,eth_2176262_event_crypto_hedge,event_crypto_hedge_after_refresh_candidate,paper_long,100,"15m,1h",1668.900000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-label ETH paper_long around event market 'Strait of Hormuz traffic returns to normal by July 31?' with event timestamp, funding, spread/depth, beta attribution, and failure regime"
