priority,queue_id,cluster_id,asset,lane_opportunity,lane_status,progress_status,required_record,evidence,next_step
282.71032981,split-first-queue-split-first-zec-public-hypertracker-example-zec-wallet-flow-actionability,zec_paper_long,ZEC,public_hypertracker_example_zec_wallet_flow_actionability,wallet_position_follow_candidate,source_context_needs_forward_label,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context","ZEC: wallet=public_hypertracker_example, source_coin=ZEC, fills=40, net_buy_usd=49.58980000, net_pnl_after_fees=443.76364400, position_notional=585.36720000, mark=442.700000000000","record a lane-only forward label for ZEC/public_hypertracker_example_zec_wallet_flow_actionability with source timestamp, duplicate-source check, cost/depth context, and failure regime"
279.33820087,split-first-queue-split-first-zec-zec-privacy-sector-rotation-context,zec_paper_long,ZEC,zec_privacy_sector_rotation_context,sector_perp_repeat_candidate,source_context_needs_forward_label,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context","ZEC: category=Privacy, category_action=sector_momentum_watch, change24=26.10040868, dir15=0.00024864, funding_support=1.02205333, hl_liquidity=343403144.86800009, okx_liquidity=805682392.59729993","record a lane-only forward label for ZEC/zec_privacy_sector_rotation_context with source timestamp, duplicate-source check, cost/depth context, and failure regime"
277.91929627,split-first-queue-split-first-zec-zec-quantum-resistant-sector-rotation-context,zec_paper_long,ZEC,zec_quantum_resistant_sector_rotation_context,sector_perp_repeat_candidate,source_context_needs_forward_label,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context","ZEC: category=Quantum-Resistant, category_action=sector_momentum_watch, change24=19.00588556, dir15=0.00024864, funding_support=1.02205333, hl_liquidity=343403144.86800009, okx_liquidity=805682392.59729993","record a lane-only forward label for ZEC/zec_quantum_resistant_sector_rotation_context with source timestamp, duplicate-source check, cost/depth context, and failure regime"
277.17344957,split-first-queue-split-first-zec-zec-zero-knowledge-zk-sector-rotation-context,zec_paper_long,ZEC,zec_zero_knowledge_zk_sector_rotation_context,sector_perp_repeat_candidate,source_context_needs_forward_label,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context","ZEC: category=Zero Knowledge (ZK), category_action=sector_momentum_watch, change24=15.27665202, dir15=0.00024864, funding_support=1.02205333, hl_liquidity=343403144.86800009, okx_liquidity=805682392.59729993","record a lane-only forward label for ZEC/zec_zero_knowledge_zk_sector_rotation_context with source timestamp, duplicate-source check, cost/depth context, and failure regime"
276.98218877,split-first-queue-split-first-zec-zec-privacy-coins-sector-rotation-context,zec_paper_long,ZEC,zec_privacy_coins_sector_rotation_context,sector_perp_repeat_candidate,source_context_needs_forward_label,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context","ZEC: category=Privacy Coins, category_action=sector_momentum_watch, change24=14.32034791, dir15=0.00024864, funding_support=1.02205333, hl_liquidity=343403144.86800009, okx_liquidity=805682392.59729993","record a lane-only forward label for ZEC/zec_privacy_coins_sector_rotation_context with source timestamp, duplicate-source check, cost/depth context, and failure regime"
273.52923312,split-first-queue-split-first-zec-zec-event-pressure-cluster,zec_paper_long,ZEC,zec_event_pressure_cluster,two_source_event_pressure,lane_label_needs_review,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context","ZEC: sources=attention_price, rss:decrypt, events=3, newest_age_h=0.000000, top=attention_price_lag_candidate: rank=2; price_1h=1.79; price_24h=1.55; price_7d=-17.49; price_30d=-25.35; volume_to_mcap=0.1211 || institutional_flow: Winklevoss-Backed Zcash Treasury Plunges Nearly 40% on ZEC Privacy Bug Concerns || narrative_event: AI Is Helping Discover Tech Vulnerabilities—And Zcash Is Just the Latest Example","record a lane-only forward label for ZEC/zec_event_pressure_cluster with source timestamp, duplicate-source check, cost/depth context, and failure regime"
263.77923312,split-first-queue-split-first-zec-zec-attention-price-context,zec_paper_long,ZEC,zec_attention_price_context,attention_price_lag_candidate,source_context_needs_forward_label,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context","ZEC: name=Zcash, rank=2, price24h=1.55399868, price7d=-17.48774114, price30d=-25.34698347, vol_mcap=0.12111599","record a lane-only forward label for ZEC/zec_attention_price_context with source timestamp, duplicate-source check, cost/depth context, and failure regime"
244.76299003,split-first-queue-split-first-sol-sol-1971905-event-crypto-hedge,sol_paper_long,SOL,sol_1971905_event_crypto_hedge,event_crypto_hedge_after_refresh_candidate,source_context_needs_forward_label,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context","SOL: event_market=1971905, action=paper_long, bias=risk_relief, gap=0.335000, edge_after_ask=0.330000, depth_5c=214008.090000, question=Strait of Hormuz traffic returns to normal by end of June?","record a lane-only forward label for SOL/sol_1971905_event_crypto_hedge with source timestamp, duplicate-source check, cost/depth context, and failure regime"
232.34775598,split-first-queue-split-first-zec-zec-institutional-flow-news-event-quality-gate,zec_paper_long,ZEC,zec_institutional_flow_news_event_quality_gate,repeat_single_source_label,lane_label_needs_review,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context","ZEC: kind=institutional_flow, side=paper_long_news_event, sources=1, labels=1, support=1, reject=0, mean1h=749.15979224, mean4h=226.09227009, title=Winklevoss-Backed Zcash Treasury Plunges Nearly 40% on ZEC Privacy Bug Concerns","record a lane-only forward label for ZEC/zec_institutional_flow_news_event_quality_gate with source timestamp, duplicate-source check, cost/depth context, and failure regime"
232.29805060,split-first-queue-split-first-zec-zec-narrative-event-news-event-quality-gate,zec_paper_long,ZEC,zec_narrative_event_news_event_quality_gate,repeat_single_source_label,lane_label_needs_review,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context","ZEC: kind=narrative_event, side=paper_long_news_event, sources=1, labels=1, support=1, reject=0, mean1h=85.71428571, mean4h=632.85714286, title=AI Is Helping Discover Tech Vulnerabilities—And Zcash Is Just the Latest Example","record a lane-only forward label for ZEC/zec_narrative_event_news_event_quality_gate with source timestamp, duplicate-source check, cost/depth context, and failure regime"
