candidate_id,source_family,instrument,refreshed_at,previous_status,refresh_status,decision,input_evidence,execution_context,actionability_read,next_action
wallet-eth-seed-flow-long-20260609T2332Z,wallet_entity_flow,ETH,2026-06-10T13:16Z,paper_candidate_stale_input,refreshed_actionable_candidate,paper_long_wallet_flow,seed wallet still has positive realized PnL and open ETH position; score=98.91; net_buy_notional=6903.69; position_notional=4663.89,Hyperliquid tradable asset; still needs funding spread depth and copycat risk controls,stale concern cleared; source quality risk remains,paper-label over 15m/1h/4h with cost and crowding controls
wallet-zec-seed-flow-long-20260609T2332Z,wallet_entity_flow,ZEC,2026-06-10T13:16Z,paper_candidate_stale_input,refreshed_actionable_candidate,paper_long_wallet_flow,seed wallet still has positive realized PnL and open ZEC position; score=83.42; current_position=1.32; position_notional=591.06,Hyperliquid tradable asset; overlaps with active ZEC funding dislocation,stale concern cleared but ZEC has adverse prior path and high crowding risk,paper-label only with independent funding and depth context
wallet-apt-seed-flow-long-20260609T2332Z,wallet_entity_flow,APT,2026-06-10T13:16Z,paper_candidate_stale_input,refreshed_actionable_candidate,paper_long_wallet_flow,seed wallet still has positive realized PnL and open APT position; score=61.91; current_position=534.63; position_notional=346.92,Hyperliquid tradable asset; small notional,actionable as small paper candidate only; do not promote on wallet signal alone,paper-label over 15m/1h/4h with depth and repeat-flow checks
wallet-hype-seed-flow-short-20260609T2332Z,wallet_entity_flow,HYPE,2026-06-10T13:16Z,paper_candidate_stale_input,refreshed_context_only,paper_short_wallet_flow,seed wallet has positive realized PnL but no open tradable position; score=47.94; net_buy_notional=-128.54,Hyperliquid tradable asset; prior microstructure conflict still unresolved,stale row did not refresh into an actionable candidate,keep as context only until repeat flow or open position appears
xvenue-brett-bybit-hl-funding-20260609T2332Z,cross_venue_funding,BRETT,2026-06-10T13:16Z,paper_candidate_stale_input,refresh_failed,none,BRETT did not appear in refreshed top funding feasibility or OKX/HL spread outputs,no current route evidence in refreshed snapshot,stale row cannot be scored,drop from current candidate set unless a fresh venue-specific spread reappears
xvenue-stable-bybit-hl-funding-20260609T2332Z,cross_venue_funding,STABLE,2026-06-10T13:16Z,paper_candidate_stale_input,refreshed_context_only,paper_funding_watch,STABLE remains high in HL/Bin funding feasibility; annualized_spread=1.3084; HL day volume=998516.54,Hyperliquid context exists but account and external venue route are still unresolved,interesting dislocation but not yet an executable candidate,keep as route-research context only
xvenue-zec-okx-hl-funding-20260609T2332Z,cross_venue_funding,ZEC,2026-06-10T13:16Z,paper_candidate_stale_input,refreshed_actionable_candidate,paper_funding_watch,OKX/HL spread remains top; annualized_spread=0.6161; breakeven_hours=7.53; net_8h=0.000033; net_24h=0.001158; capacity_proxy=122396,OKX and Hyperliquid context available,stale concern cleared; edge is small at 8h but positive if held and executed well,paper-label as hedged funding spread rather than naked ZEC direction
basis-btc-25sep26-rich-future-20260609T2332Z,basis_term_structure,BTC-25SEP26,2026-06-10T13:16Z,paper_candidate_stale_input,refreshed_actionable_candidate,paper_short_basis_watch,Deribit BTC-25SEP26 remains rich; annualized_basis=0.0328; volume_usd=8601100; open_interest=311844030; spread_pct=0.000040,Deribit future plus spot/perp hedge route still required,stale concern cleared; this is carry/basis not directional alpha,paper-label hedge route and margin before any real trade
basis-eth-12jun26-cheap-future-20260609T2332Z,basis_term_structure,ETH-12JUN26,2026-06-10T13:16Z,paper_candidate_stale_input,refreshed_context_only,paper_long_basis_watch,Deribit ETH-12JUN26 is still cheap but weaker; annualized_basis=-0.0201; days_to_expiry=1.78; volume_usd=1417812; spread_pct=0.000306,Near-expiry hedge route and fees likely dominate unless execution is excellent,stale concern cleared but edge is too thin/short-lived for priority,keep as context only
refresh-lead-0g-hl-okx-funding-20260610T1316Z,cross_venue_funding,0G,2026-06-10T13:16Z,new_refresh_lead,refreshed_context_only,paper_funding_watch,0G has high HL/OKX spread; annualized_spread=1.6125; net_24h=0.000831; net_8h=-0.002115; capacity_proxy=2218.90,OKX and Hyperliquid context available but capacity is tiny and 8h net is negative,not a trade yet; possible persistence watch only,watch for repeated spread with better capacity and cost
