symbol,decision,side_hint,total_score,fundamental_score,sentiment_score,sector_score,funding_score,source_count,evidence,conflict,missing_data,next_probe,research_reference
ZEC,cross_section_label_priority,long_bias,121.68800878,0.00000000,39.69359622,51.87488680,6.11952576,3,sentiment=dedupe_news_before_attention_label; source=coingecko_trending; priority=158.77438488 || sector=Privacy; action=sector_perp_repeat_candidate; context=1.29687217 || funding_spread=0.76494072; long=BinPerp; short=HlPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",label ZEC long_bias cross-section row at the next rebalance timestamp,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
JUP,cross_section_watchlist,long_bias,88.25180378,44.78567738,0.00000000,16.88665680,2.57946960,3,fundamental=Jupiter Perpetual Exchange; side=long_token; status=protocol_fee_pending_forward_label; score=44.78567738 || sector=Perpetuals; action=wait_for_label; context=0.42216642 || funding_spread=0.32243370; long=BinPerp; short=BybitPerp || okx_hl_net24=-0.00210979; capacity=17431.94440280,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",collect one more independent JUP feature before cross-section labeling,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
PENGU,cross_section_watchlist,long_bias,81.59084689,0.00000000,65.00830689,0.00000000,0.58254000,2,sentiment=ticker_specific_attention_alpha_candidate; source=coingecko_trending; priority=144.46290421 || funding_spread=0.07281750; long=BinPerp; short=HlPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",collect one more independent PENGU feature before cross-section labeling,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
HYPE,split_conflicting_features_before_label,long_bias,81.56325879,0.00000000,70.21016919,-11.57632960,0.77676000,3,sentiment=ticker_specific_attention_alpha_candidate; source=coingecko_trending; priority=156.02259819 || sector=Derivatives; action=wait_for_label; context=-0.28940824 || okx_hl_net24=0.00019419; capacity=3802672.17200000,long_short_feature_conflict,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",split HYPE features by sign before any cross-section label,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
BEAT,cross_section_watchlist,long_bias,79.44368568,0.00000000,62.40116088,1.04252480,0.00000000,2,sentiment=ticker_specific_attention_alpha_candidate; source=coingecko_trending; priority=138.66924639 || sector=Arcade Games; action=wait_for_label; context=0.02606312,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",collect one more independent BEAT feature before cross-section labeling,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
TAO,cross_section_watchlist,long_bias,73.01525921,0.00000000,54.51498001,0.00000000,2.50027920,2,sentiment=ticker_specific_attention_alpha_candidate; source=coingecko_trending; priority=121.14440003 || funding_spread=0.31253490; long=BybitPerp; short=HlPerp || okx_hl_net24=-0.00002397; capacity=78924.89413700,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",collect one more independent TAO feature before cross-section labeling,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
CRV,cross_section_watchlist,long_bias,71.08654507,54.26161587,0.00000000,0.00000000,0.82492920,2,fundamental=Curve DEX; side=long_token; status=protocol_fee_pending_forward_label; score=54.26161587 || funding_spread=0.10311615; long=BinPerp; short=HlPerp || okx_hl_net24=-0.00129256; capacity=22491.34988003,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",collect one more independent CRV feature before cross-section labeling,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
SOL,split_conflicting_features_before_label,mixed_or_flat,66.19780924,-32.49986989,33.06243215,0.00000000,1.63550720,3,fundamental=Solana; side=watch_or_short; status=protocol_fee_pending_forward_label; score=46.42838556 || sentiment=dedupe_news_before_attention_label; source=coingecko_trending; priority=132.24972859 || funding_spread=0.14642340; long=BinPerp; short=HlPerp || okx_hl_net24=0.00011603; capacity=2868339.06641070,long_short_feature_conflict,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",split SOL features by sign before any cross-section label,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
ALLO,insufficient_cross_section_context,long_bias,65.00000000,0.00000000,64.57500000,0.00000000,0.00000000,1,sentiment=ticker_specific_attention_alpha_candidate; source=coingecko_trending; priority=143.50000000,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep ALLO as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
HOME,insufficient_cross_section_context,long_bias,65.00000000,0.00000000,0.00000000,203.39091960,0.00000000,1,sector=Account Abstraction; action=wait_for_label; context=-5.08477299,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep HOME as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
