ticket_id,opened_at,previous_ticket_id,asset,opportunity,decision,candidate_size_usd,checkpoints,entry_mark,entry_source,estimated_net_after_cost_bps,required_record,next_step
repeat-paper-05-hype-volume-dislocation,2026-06-08T14:49:29+00:00,paper-05-hype-volume-dislocation,HYPE,hype_volume_price_dislocation,paper_long,250,"15m,1h",64.689000000000,hl_execution_context,514.02103278,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-17-hype-policy-expansion,2026-06-08T14:49:29+00:00,paper-17-hype-policy-expansion,HYPE,hype_hype_microstructure_flow_probe_from_near_microstructure_flow_paper_long,paper_long,100,"15m,1h",64.689000000000,hl_execution_context,514.02103278,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-29-hype-policy-expansion,2026-06-08T14:49:29+00:00,paper-29-hype-policy-expansion,HYPE,hype_hype_volume_price_dislocation_from_sol_volume_price_dislocation_paper_long,paper_long,100,"15m,1h",64.689000000000,hl_execution_context,514.02103278,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-19-zec-wallet-entity-flow,2026-06-08T15:16:01+00:00,paper-19-zec-wallet-entity-flow,ZEC,public_hypertracker_example_zec_wallet_flow_actionability,paper_long,,"15m,1h",442.700000000000,hyperliquid_snapshot,346.42311700,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-51-zec-attention-event,2026-06-08T15:16:01+00:00,paper-51-zec-attention-event,ZEC,zec_attention_price_context,paper_long,,"15m,1h",442.700000000000,hyperliquid_snapshot,346.42311700,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-46-zec-sector-rotation,2026-06-08T14:49:29+00:00,paper-46-zec-sector-rotation,ZEC,zec_privacy_sector_rotation_context,paper_long,,"15m,1h",434.590000000000,hyperliquid_snapshot,161.06350409,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-09-fartcoin-volume-dislocation,2026-06-08T14:49:29+00:00,paper-09-fartcoin-volume-dislocation,FARTCOIN,fartcoin_volume_price_dislocation,paper_long,250,"15m,1h",0.117880000000,hyperliquid_snapshot,189.21730939,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-03-sui-repeat-execution,2026-06-08T14:49:29+00:00,paper-03-sui-repeat-execution,SUI,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,1000,"15m,1h",0.760900000000,okx_execution_context,103.65685479,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-36-aave-event-pressure,2026-06-08T14:49:29+00:00,paper-36-aave-event-pressure,AAVE,aave_event_pressure_cluster,paper_long,,"15m,1h",64.174000000000,hyperliquid_snapshot,118.33157721,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-02-sui-repeat-execution,2026-06-08T09:33:14+00:00,paper-02-sui-repeat-execution,SUI,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,1000,"15m,1h",0.750000000000,okx_execution_context,24.35975485,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-20-link-volume-dislocation,2026-06-08T14:49:29+00:00,paper-20-link-volume-dislocation,LINK,link_volume_price_dislocation,paper_long,250,"15m,1h",7.978500000000,hyperliquid_snapshot,74.03802879,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-02-near-policy-expansion,2026-06-08T15:16:01+00:00,paper-02-near-policy-expansion,NEAR,near_near_microstructure_flow_paper_probe_from_bera_microstructure_flow_paper_long,paper_long,100,"15m,1h",2.183200000000,hl_execution_context,178.14211134,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-06-near-policy-expansion,2026-06-08T15:16:01+00:00,paper-06-near-policy-expansion,NEAR,near_near_microstructure_flow_probe_from_bera_microstructure_flow_paper_long,paper_long,100,"15m,1h",2.183200000000,hl_execution_context,178.14211134,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-07-near-policy-expansion,2026-06-08T15:16:01+00:00,paper-07-near-policy-expansion,NEAR,near_near_microstructure_flow_paper_probe_from_microstructure_flow_paper_long,paper_long,100,"15m,1h",2.183200000000,hl_execution_context,178.14211134,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-12-near-policy-expansion,2026-06-08T15:16:01+00:00,paper-12-near-policy-expansion,NEAR,near_near_microstructure_flow_paper_probe_from_chip_microstructure_flow_paper_long,paper_long,100,"15m,1h",2.183200000000,hl_execution_context,178.14211134,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-25-near-policy-expansion,2026-06-08T15:16:01+00:00,paper-25-near-policy-expansion,NEAR,near_near_microstructure_flow_probe_from_microstructure_flow_paper_long,paper_long,100,"15m,1h",2.183200000000,hl_execution_context,178.14211134,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-28-near-policy-expansion,2026-06-08T15:16:01+00:00,paper-28-near-policy-expansion,NEAR,near_near_microstructure_flow_probe_from_chip_microstructure_flow_paper_long,paper_long,100,"15m,1h",2.183200000000,hl_execution_context,178.14211134,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-31-near-policy-expansion,2026-06-08T15:16:01+00:00,paper-31-near-policy-expansion,NEAR,near_near_microstructure_flow_paper_probe_from_mon_microstructure_flow_paper_long,paper_long,100,"15m,1h",2.183200000000,hl_execution_context,178.14211134,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-13-sol-event-crypto-hedge,2026-06-08T15:16:01+00:00,paper-13-sol-event-crypto-hedge,SOL,sol_1971905_event_crypto_hedge,paper_long,,"15m,1h",67.495000000000,hl_execution_context,179.95897027,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-32-sol-stablecoin-migration,2026-06-08T15:16:01+00:00,paper-32-sol-stablecoin-migration,SOL,solana_stablecoin_migration,paper_long,,"15m,1h",67.495000000000,hl_execution_context,179.95897027,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-13-sol-volume-dislocation,2026-06-08T14:49:29+00:00,paper-13-sol-volume-dislocation,SOL,sol_volume_price_dislocation,paper_long,250,"15m,1h",66.720000000000,hl_execution_context,63.21719944,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-11-eth-event-crypto-hedge,2026-06-08T15:16:01+00:00,paper-11-eth-event-crypto-hedge,ETH,eth_1971905_event_crypto_hedge,paper_long,,"15m,1h",1697.300000000000,hl_execution_context,161.45788529,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-18-eth-wallet-entity-flow,2026-06-08T15:16:01+00:00,paper-18-eth-wallet-entity-flow,ETH,public_hypertracker_example_eth_wallet_flow_actionability,paper_long,,"15m,1h",1697.300000000000,hl_execution_context,161.45788529,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-16-eth-volume-dislocation,2026-06-08T14:49:29+00:00,paper-16-eth-volume-dislocation,ETH,eth_volume_price_dislocation,paper_long,250,"15m,1h",1685.500000000000,hl_execution_context,90.19099668,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-18-eth-policy-expansion,2026-06-08T14:49:29+00:00,paper-18-eth-policy-expansion,ETH,eth_eth_microstructure_flow_probe_from_near_microstructure_flow_paper_long,paper_long,100,"15m,1h",1685.500000000000,hl_execution_context,90.19099668,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-32-eth-policy-expansion,2026-06-08T14:49:29+00:00,paper-32-eth-policy-expansion,ETH,eth_eth_volume_price_dislocation_from_sol_volume_price_dislocation_paper_long,paper_long,100,"15m,1h",1685.500000000000,hl_execution_context,90.19099668,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-03-inj-policy-expansion,2026-06-08T15:16:01+00:00,paper-03-inj-policy-expansion,INJ,inj_inj_volume_price_dislocation_from_sol_volume_price_dislocation_paper_long,paper_long,100,"15m,1h",5.680000000000,hyperliquid_snapshot,156.36805643,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-13-inj-policy-expansion,2026-06-08T15:16:01+00:00,paper-13-inj-policy-expansion,INJ,inj_inj_volume_price_dislocation_from_volume_price_dislocation_paper_long,paper_long,100,"15m,1h",5.680000000000,hyperliquid_snapshot,156.36805643,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-32-inj-policy-expansion,2026-06-08T15:16:01+00:00,paper-32-inj-policy-expansion,INJ,inj_inj_volume_price_dislocation_from_fartcoin_volume_price_dislocation_paper_long,paper_long,100,"15m,1h",5.680000000000,hyperliquid_snapshot,156.36805643,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-20-apt-wallet-entity-flow,2026-06-08T15:16:01+00:00,paper-20-apt-wallet-entity-flow,APT,public_hypertracker_example_apt_wallet_flow_actionability,paper_long,,"15m,1h",0.680000000000,hl_execution_context,123.56968533,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-15-sol-policy-expansion,2026-06-08T15:16:01+00:00,paper-15-sol-policy-expansion,SOL,sol_sol_volume_price_dislocation_from_volume_price_dislocation_paper_long,paper_long,100,"15m,1h",67.495000000000,hl_execution_context,107.88394704,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-04-inj-volume-dislocation,2026-06-08T15:16:01+00:00,paper-04-inj-volume-dislocation,INJ,inj_volume_price_dislocation,paper_long,250,"15m,1h",5.680000000000,hyperliquid_snapshot,100.47168531,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-27-inj-policy-expansion,2026-06-08T15:16:01+00:00,paper-27-inj-policy-expansion,INJ,inj_inj_volume_price_dislocation_from_sol_volume_price_dislocation_paper_long,paper_long,100,"15m,1h",5.680000000000,hyperliquid_snapshot,100.47168531,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-10-btc-event-crypto-hedge,2026-06-08T15:16:01+00:00,paper-10-btc-event-crypto-hedge,BTC,btc_1971905_event_crypto_hedge,paper_long,,"15m,1h",64034.000000000000,hl_execution_context,88.69299051,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-07-eth-policy-expansion,2026-06-08T15:16:01+00:00,paper-07-eth-policy-expansion,ETH,eth_eth_microstructure_flow_probe_from_bera_microstructure_flow_paper_long,paper_long,100,"15m,1h",1697.300000000000,hl_execution_context,61.29481517,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-paper-05-eth-policy-expansion,2026-06-08T15:16:01+00:00,paper-05-eth-policy-expansion,ETH,eth_eth_volume_price_dislocation_from_sol_volume_price_dislocation_paper_long,paper_long,100,"15m,1h",1697.300000000000,hl_execution_context,61.29481517,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
