record_id,split,source,asset,venue,context,opportunity,observation_key,action,action_side,reward_bps,cost_adjusted_reward_bps,reward_used_bps,reward_status,cost_known,terminal,elapsed_minutes,next_step
repeat-paper-22-bera-microstructure-flow,repeat,repeat,BERA,,microstructure_flow,bera_microstructure_flow_paper_probe,BERA/microstructure_flow/any_venue,paper_long,long,754.21010425,743.47564683,743.47564683,cost_adjusted_win,yes,yes,568.35,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-21-chip-microstructure-flow,repeat,repeat,CHIP,,microstructure_flow,chip_microstructure_flow_paper_probe,CHIP/microstructure_flow/any_venue,paper_long,long,669.03869369,655.85062875,655.85062875,cost_adjusted_win,yes,yes,568.35,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-46-zec-sector-rotation,repeat,repeat,ZEC,,sector_rotation,zec_privacy_sector_rotation_context,ZEC/sector_rotation/any_venue,paper_long,long,535.90740698,526.22489859,526.22489859,cost_adjusted_win,yes,yes,306.55,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-44-zec-attention-event,repeat,repeat,ZEC,,news_event,zec_attention_price_context,ZEC/news_event/any_venue,paper_long,long,535.90740698,526.22489859,526.22489859,cost_adjusted_win,yes,yes,301.07,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-23-zec-wallet-entity-flow,repeat,repeat,ZEC,,wallet_entity_flow,public_hypertracker_example_zec_wallet_flow_actionability,ZEC/wallet_entity_flow/any_venue,paper_long,long,535.90740698,526.22489859,526.22489859,cost_adjusted_win,yes,yes,306.55,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-lane-zec-zec-attention-price-context,repeat,symbol_lane_repeat,ZEC,,news_event,zec_attention_price_context,ZEC/news_event/any_venue,paper_long,long,535.90740698,526.22489859,526.22489859,cost_adjusted_win,yes,yes,290.71,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-lane-zec-zec-institutional-flow-news-event,repeat,symbol_lane_repeat,ZEC,,news_event,zec_institutional_flow_news_event,ZEC/news_event/any_venue,paper_long,long,535.90740698,526.22489859,526.22489859,cost_adjusted_win,yes,yes,290.71,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-lane-zec-zec-narrative-event-news-event,repeat,symbol_lane_repeat,ZEC,,news_event,zec_narrative_event_news_event,ZEC/news_event/any_venue,paper_long,long,535.90740698,526.22489859,526.22489859,cost_adjusted_win,yes,yes,290.71,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-19-zec-wallet-entity-flow,repeat,repeat,ZEC,,wallet_entity_flow,public_hypertracker_example_zec_wallet_flow_actionability,ZEC/wallet_entity_flow/any_venue,paper_long,long,342.89586628,333.21335789,333.21335789,cost_adjusted_win,yes,yes,280.02,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-51-zec-attention-event,repeat,repeat,ZEC,,news_event,zec_attention_price_context,ZEC/news_event/any_venue,paper_long,long,342.89586628,333.21335789,333.21335789,cost_adjusted_win,yes,yes,280.02,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-46-zec-sector-rotation,repeat,second_repeat,ZEC,,sector_rotation,zec_privacy_sector_rotation_context,ZEC/sector_rotation/any_venue,paper_long,long,342.89586628,333.21335789,333.21335789,cost_adjusted_win,yes,yes,280.00,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-44-zec-attention-event,repeat,second_repeat,ZEC,,news_event,zec_attention_price_context,ZEC/news_event/any_venue,paper_long,long,342.89586628,333.21335789,333.21335789,cost_adjusted_win,yes,yes,280.00,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-23-zec-wallet-entity-flow,repeat,second_repeat,ZEC,,wallet_entity_flow,public_hypertracker_example_zec_wallet_flow_actionability,ZEC/wallet_entity_flow/any_venue,paper_long,long,342.89586628,333.21335789,333.21335789,cost_adjusted_win,yes,yes,280.00,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-21-chip-microstructure-flow,repeat,second_repeat,CHIP,,microstructure_flow,chip_microstructure_flow_paper_probe,CHIP/microstructure_flow/any_venue,paper_long,long,313.22933301,300.04126807,300.04126807,cost_adjusted_win,yes,yes,304.62,repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-22-bera-microstructure-flow,repeat,second_repeat,BERA,,microstructure_flow,bera_microstructure_flow_paper_probe,BERA/microstructure_flow/any_venue,paper_long,long,303.08850645,292.35404903,292.35404903,cost_adjusted_win,yes,yes,304.62,repeat the ticket and add stop/adverse-excursion notes before any promotion
