candidate_id,family,instrument,decision,entry,current,raw_bps,directional_bps,current_input_status,outcome_read,next_action
liq-sahara-forced-flow-long-20260609T2332Z,liquidation_oi,SAHARA,paper_long,,,,,current_liq_refreshed,"current_action=mixed_liquidation_flow_watch; current_intensity=10.74862439","do not promote; original forced-flow shock faded and action changed"
liq-h-short-squeeze-20260609T2332Z,liquidation_oi,H,paper_short,,,,,current_liq_refreshed,"current_action=mixed_liquidation_flow_watch; current_intensity=7.43362813","do not promote; original short squeeze signal did not persist"
liq-xau-forced-flow-long-20260609T2332Z,liquidation_oi,XAU,paper_long,,,,,current_liq_refreshed,"current_action=long_liquidation_cascade_watch; current_intensity=8.23426164","keep as context only; signal weakened and account route is unknown"
liq-zec-forced-flow-long-20260609T2332Z,liquidation_oi,ZEC,paper_long,,429.1900,,,current_liq_refreshed,"current_action=mixed_liquidation_flow_watch; current_intensity=16.44652866","do not promote; original direction weakened and ZEC has prior adverse path"
liq-doge-forced-flow-long-20260609T2332Z,liquidation_oi,DOGE,paper_long,,0.083786,,,current_liq_refreshed,"current_action=long_liquidation_cascade_watch; current_intensity=5.30914848","keep as context only; weak current intensity"
liq-eth-forced-flow-long-20260609T2332Z,liquidation_oi,ETH,paper_long,,1633.4000,,,current_liq_refreshed,"current_action=mixed_liquidation_flow_watch; current_intensity=15.70777995","do not promote as directional liquidation setup; action changed to mixed"
micro-near-aligned-pressure-long-20260609T2332Z,microstructure,NEAR,paper_long,2.173650,2.067300,-489.2692,-489.2692,current_hl_snapshot,late_adverse_not_exact_1h_or_4h,"reject current row; aligned pressure did not survive delayed follow-up"
micro-op-aligned-pressure-long-20260609T2332Z,microstructure,OP,paper_long,0.096415,0.095400,-105.2741,-105.2741,current_hl_snapshot,late_adverse_not_exact_1h_or_4h,"reject current row; cost warning plus adverse move"
micro-btc-aligned-pressure-long-20260609T2332Z,microstructure,BTC,paper_long,61684.5000,61533.0000,-24.5605,-24.5605,current_hl_snapshot,late_neutral_not_exact_1h_or_4h,"do not promote; neutral delayed result"
micro-ada-aligned-pressure-short-20260609T2332Z,microstructure,ADA,paper_short,0.165390,0.160700,-283.5722,283.5722,current_hl_snapshot,late_favorable_not_exact_1h_or_4h,"keep as lead only; exact 1h/4h was missed"
