action_id,cluster_id,asset,decision,action,representative_ticket_id,representative_opportunity,candidate_size_usd,source_lanes,conflict_status,dominant_bias,candidate_count,best_net_after_cost_bps,cluster_score,required_record,next_step
cluster-repeat-01-hype_paper_long,hype_paper_long,HYPE,paper_long,split_lanes_before_repeat_probe,lane-hype-hype-volume-price-dislocation,hype_volume_price_dislocation,250,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",mixed_direction_conflict,long,12,516.64565989,1005.39028009,"lane-specific direction, source independence, conflict reason, entry mark, costs, stop",split HYPE lanes before any paper_long repeat; do not collapse conflicting sources into one action
cluster-repeat-02-sol_paper_long,sol_paper_long,SOL,paper_long,split_lanes_before_repeat_probe,repeat-lane-sol-sol-volume-price-dislocation,sol_volume_price_dislocation,250,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",mixed_direction_conflict,long,20,263.21870816,947.53033678,"lane-specific direction, source independence, conflict reason, entry mark, costs, stop",split SOL lanes before any paper_long repeat; do not collapse conflicting sources into one action
cluster-repeat-03-eth_paper_long,eth_paper_long,ETH,paper_long,split_lanes_before_repeat_probe,repeat-lane-eth-eth-volume-price-dislocation,eth_volume_price_dislocation,250,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",mixed_direction_conflict,relative_value,17,177.93817836,789.78143152,"lane-specific direction, source independence, conflict reason, entry mark, costs, stop",split ETH lanes before any paper_long repeat; do not collapse conflicting sources into one action
cluster-repeat-04-zec_paper_long,zec_paper_long,ZEC,paper_long,split_lanes_before_repeat_probe,lane-zec-zec-attention-price-context,zec_attention_price_context,100,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",mixed_direction_conflict,long,9,346.42311700,762.74240011,"lane-specific direction, source independence, conflict reason, entry mark, costs, stop",split ZEC lanes before any paper_long repeat; do not collapse conflicting sources into one action
cluster-repeat-05-sui_paper_long,sui_paper_long,SUI,paper_long,dedupe_before_repeat_probe,repeat-paper-02-sui-repeat-execution,sui_okx_on_chain_flow_repeat_execution_gate,dedupe_only,"promoted_repeat, second_promoted_repeat",,,9,258.41179570,741.70604327,"unique opportunity, independent timestamp, source separation, reused-price-move reason",dedupe SUI paper_long opportunities before any consolidated repeat; do not reuse the same price move
cluster-repeat-06-bera_paper_long,bera_paper_long,BERA,paper_long,resize_before_repeat_probe,repeat-paper-22-bera-microstructure-flow,bera_microstructure_flow_paper_probe,smaller_than_representative,"promoted_repeat, second_promoted_repeat",confirmed_long_cluster,long,2,659.11065794,691.44474211,"smaller size, current depth, spread, funding, entry mark, stop, adverse excursion",only repeat BERA paper_long after choosing a smaller size that fits current visible depth
cluster-repeat-07-chip_paper_long,chip_paper_long,CHIP,paper_long,open_consolidated_repeat_probe,repeat-paper-21-chip-microstructure-flow,chip_microstructure_flow_paper_probe,100.00,"promoted_repeat, second_promoted_repeat",confirmed_long_cluster,long,2,346.94750309,537.90907193,"entry mark, realized fill assumption, spread, funding, stop, adverse excursion, 15m/1h mark",repeat CHIP paper_long once as a cluster-level paper probe instead of duplicating all source tickets
cluster-repeat-08-btc_paper_long,btc_paper_long,BTC,paper_long,split_lanes_before_repeat_probe,lane-btc-btc-1971905-event-crypto-hedge,btc_1971905_event_crypto_hedge,100,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",mixed_direction_conflict,relative_value,10,88.69299051,432.23836540,"lane-specific direction, source independence, conflict reason, entry mark, costs, stop",split BTC lanes before any paper_long repeat; do not collapse conflicting sources into one action
cluster-repeat-09-mon_paper_long,mon_paper_long,MON,paper_long,open_consolidated_repeat_probe,repeat-paper-20-mon-microstructure-flow,mon_microstructure_flow_paper_probe,100.00,promoted_repeat,multi_source_watch,mixed,1,197.92001690,337.19202281,"entry mark, realized fill assumption, spread, funding, stop, adverse excursion, 15m/1h mark",repeat MON paper_long once as a cluster-level paper probe instead of duplicating all source tickets
cluster-repeat-10-near_paper_long,near_paper_long,NEAR,paper_long,split_lanes_before_repeat_probe,repeat-lane-near-near-microstructure-flow-paper-probe,near_microstructure_flow_paper_probe,100.00,"symbol_lane_paper, symbol_lane_promoted_repeat",mixed_direction_conflict,relative_value,4,146.85402150,333.55335002,"lane-specific direction, source independence, conflict reason, entry mark, costs, stop",split NEAR lanes before any paper_long repeat; do not collapse conflicting sources into one action
