ticket_id,opened_at,source_ticket_id,opportunity,asset,venue,decision,side,entry_mark,entry_source,candidate_size_usd,stop_bps,audit_horizons,prior_net_after_cost_bps,required_record,next_step
broad-fill-audit-zec-long-50bps-stop,2026-06-08T20:47:41+00:00,broad-paper-zec-paper-long,promotion_frontier:cost_candidate:symbol_lane_paper:lane-zec-public-hypertracker-example-zec-wallet-flow-actionability,ZEC,,paper_long,long,467.730000000000,hyperliquid_snapshot,100,50.00,"15m,1h",359.48469531,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh ZEC paper_long path with 50bps stop before any promotion
broad-fill-audit-pol-short-50bps-stop,2026-06-08T20:35:19+00:00,broad-paper-pol-paper-short,cost_survival_cross_section:pol_paper_short,POL,,paper_short,short,0.078555000000,hl_execution_context,100,50.00,"15m,1h",187.70107190,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh POL paper_short path with 50bps stop before any promotion
broad-fill-audit-wld-short-50bps-stop,2026-06-08T21:13:17+00:00,broad-paper-wld-paper-short,event_pressure:WLD:single_event_context,WLD,,paper_short,short,0.540930000000,hl_execution_context,100,50.00,"15m,1h",176.81187371,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh WLD paper_short path with 50bps stop before any promotion
broad-fill-audit-eth-long-50bps-stop,2026-06-08T21:16:41+00:00,broad-paper-eth-paper-long,seed_wallet_flow:public_hypertracker_example_eth_wallet_flow_actionability,ETH,,paper_long,long,1711.700000000000,hl_execution_context,100,50.00,"15m,1h",127.05044916,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh ETH paper_long path with 50bps stop before any promotion
broad-fill-audit-inj-long-50bps-stop,2026-06-08T21:13:17+00:00,broad-paper-inj-paper-long,cost_survival_cross_section:inj_paper_long,INJ,,paper_long,long,5.776800000000,hl_execution_context,100,50.00,"15m,1h",83.89633119,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh INJ paper_long path with 50bps stop before any promotion
broad-fill-audit-zro-short-50bps-stop,2026-06-08T20:57:51+00:00,broad-paper-zro-paper-short,token_unlock:ZRO,ZRO,,paper_short,short,0.858370000000,hl_execution_context,100,50.00,"15m,1h",75.27143452,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh ZRO paper_short path with 50bps stop before any promotion
broad-fill-audit-sui-long-50bps-stop,2026-06-08T21:16:41+00:00,broad-paper-sui-paper-long,cost_survival_cross_section:sui_paper_long,SUI,,paper_long,long,0.767800000000,hl_execution_context,100,50.00,"15m,1h",74.56430401,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh SUI paper_long path with 50bps stop before any promotion
broad-fill-audit-fet-long-50bps-stop,2026-06-08T21:13:17+00:00,broad-paper-fet-paper-long,market_breadth:FET:long_reversal,FET,,paper_long,long,0.215370000000,hl_execution_context,100,50.00,"15m,1h",66.29703723,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh FET paper_long path with 50bps stop before any promotion
broad-fill-audit-hype-long-50bps-stop,2026-06-08T20:47:41+00:00,broad-paper-hype-paper-long,lane_repeat:hype_volume_price_dislocation,HYPE,,paper_long,long,63.761000000000,hl_execution_context,100,50.00,"15m,1h",66.20240685,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh HYPE paper_long path with 50bps stop before any promotion
broad-fill-audit-sol-long-50bps-stop,2026-06-08T21:16:41+00:00,broad-paper-sol-paper-long,cost_survival_cross_section:sol_paper_long,SOL,,paper_long,long,67.961000000000,hl_execution_context,100,50.00,"15m,1h",62.13053318,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh SOL paper_long path with 50bps stop before any promotion
broad-fill-audit-allo-long-50bps-stop,2026-06-08T21:16:41+00:00,broad-paper-allo-paper-long,liquidation_intensity:ALLO:long_liquidation_cascade_watch,ALLO,OKX,paper_long,long,0.39914,okx_ticker,100.00,50.00,"15m,1h",42.11836043,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh ALLO paper_long path with 50bps stop before any promotion
broad-fill-audit-apt-long-50bps-stop,2026-06-08T21:16:41+00:00,broad-paper-apt-paper-long,cost_survival_cross_section:apt_paper_long,APT,,paper_long,long,0.684600000000,hl_execution_context,100,50.00,"15m,1h",30.25700872,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh APT paper_long path with 50bps stop before any promotion
broad-fill-audit-btc-long-50bps-stop,2026-06-08T21:16:41+00:00,broad-paper-btc-paper-long,seed_wallet_flow:public_hypertracker_example_btc_wallet_flow_actionability,BTC,,paper_long,long,63706.000000000000,hl_execution_context,100,50.00,"15m,1h",29.99178636,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh BTC paper_long path with 50bps stop before any promotion
broad-fill-audit-chip-long-50bps-stop,2026-06-08T20:47:41+00:00,broad-paper-chip-paper-long,promotion_frontier:cost_candidate:promoted_repeat:repeat-paper-21-chip-microstructure-flow,CHIP,,paper_long,long,0.033805000000,hl_execution_context,100,50.00,"15m,1h",115.95505319,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh CHIP paper_long path with 50bps stop before any promotion
broad-fill-audit-wld-long-50bps-stop,2026-06-08T21:13:17+00:00,broad-paper-wld-paper-long,hl_dislocation:WLD:paper_crowded_momentum_continuation_candidate,WLD,,paper_long,long,0.540930000000,hl_execution_context,100,50.00,"15m,1h",45.70820392,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh WLD paper_long path with 50bps stop before any promotion
broad-fill-audit-near-long-50bps-stop,2026-06-08T21:13:17+00:00,broad-paper-near-paper-long,cost_survival_cross_section:near_paper_long,NEAR,,paper_long,long,2.173300000000,hl_execution_context,100,50.00,"15m,1h",3.67439494,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh NEAR paper_long path with 50bps stop before any promotion
broad-fill-audit-btc-short-50bps-stop,2026-06-08T20:47:41+00:00,broad-paper-btc-paper-short,seed_wallet_flow:public_hypertracker_example_hyna_btc_wallet_flow_actionability,BTC,,paper_short,short,63364.000000000000,hl_execution_context,100,50.00,"15m,1h",0.94589335,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh BTC paper_short path with 50bps stop before any promotion
broad-fill-audit-eigen-short-50bps-stop,2026-06-08T20:47:41+00:00,broad-paper-eigen-paper-short,token_unlock:EIGEN,EIGEN,,paper_short,short,0.182900000000,hyperliquid_snapshot,100,50.00,"15m,1h",35.64909081,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh EIGEN paper_short path with 50bps stop before any promotion
broad-fill-audit-beat-long-50bps-stop,2026-06-08T20:30:11+00:00,broad-paper-beat-paper-long,liquidation_intensity:BEAT:long_liquidation_cascade_watch,BEAT,OKX,paper_long,long,4.379,okx_ticker,100.00,50.00,"15m,1h",17.04379438,"fresh entry, public 1m path, stop hit status, adverse excursion, funding and fill notes",audit fresh BEAT paper_long path with 50bps stop before any promotion
