work_id,work_kind,priority,source_frontier_id,lane,asset,action,status,why_now,required_evidence,next_step
repeat_fill_risk_probe-01-paper-cost-survival-watchlist-chip-paper-long,repeat_fill_risk_probe,1690.00000000,cost_cluster:chip_paper_long,cost_survival,CHIP,paper_long,paper_cost_survival_watchlist,"positive cost-survival row exists; next blocker is realized fill, stop, and adverse excursion","still needs realized fill, stop, adverse-excursion, and independent timestamp evidence","paper-check CHIP paper_long with realized fill, stop, and adverse-excursion notes"
repeat_fill_risk_probe-02-paper-cost-survival-watchlist-link-paper-long,repeat_fill_risk_probe,1680.00000000,cost_cluster:link_paper_long,cost_survival,LINK,paper_long,paper_cost_survival_watchlist,"positive cost-survival row exists; next blocker is realized fill, stop, and adverse excursion","still needs realized fill, stop, adverse-excursion, and independent timestamp evidence","paper-check LINK paper_long with realized fill, stop, and adverse-excursion notes"
repeat_fill_risk_probe-03-paper-cost-survival-watchlist-fartcoin-paper-long,repeat_fill_risk_probe,1670.00000000,cost_cluster:fartcoin_paper_long,cost_survival,FARTCOIN,paper_long,paper_cost_survival_watchlist,"positive cost-survival row exists; next blocker is realized fill, stop, and adverse excursion","still needs realized fill, stop, adverse-excursion, and independent timestamp evidence","paper-check FARTCOIN paper_long with realized fill, stop, and adverse-excursion notes"
repeat_fill_risk_probe-04-paper-cost-survival-watchlist-aave-paper-long,repeat_fill_risk_probe,1660.00000000,cost_cluster:aave_paper_long,cost_survival,AAVE,paper_long,paper_cost_survival_watchlist,"positive cost-survival row exists; next blocker is realized fill, stop, and adverse excursion","still needs realized fill, stop, adverse-excursion, and independent timestamp evidence","paper-check AAVE paper_long with realized fill, stop, and adverse-excursion notes"
repeat_fill_risk_probe-05-paper-cost-survival-watchlist-sei-paper-long,repeat_fill_risk_probe,1650.00000000,cost_cluster:sei_paper_long,cost_survival,SEI,paper_long,paper_cost_survival_watchlist,"positive cost-survival row exists; next blocker is realized fill, stop, and adverse excursion","still needs realized fill, stop, adverse-excursion, and independent timestamp evidence","paper-check SEI paper_long with realized fill, stop, and adverse-excursion notes"
dedupe_cluster-01-duplicate-dedupe-required-sui-paper-long,dedupe_cluster,1640.00000000,cost_cluster:sui_paper_long,cost_survival,SUI,paper_long,duplicate_dedupe_required,many rows may share one underlying move; dedupe before adding more paper tickets,many rows may be reusing the same underlying price move or opportunity,dedupe SUI paper_long opportunities before any new paper ticket
split_conflicting_sources-01-repeat-conflict-split-required-zec-paper-long,split_conflicting_sources,1590.00000000,cost_cluster:zec_paper_long,cost_survival,ZEC,paper_long,repeat_conflict_split_required,repeat evidence conflicts; split source lanes before treating the cluster as alpha,repeat evidence is not one-sided enough for promotion,split ZEC paper_long by source and label winners and losers separately
split_conflicting_sources-02-repeat-conflict-split-required-sol-paper-long,split_conflicting_sources,1580.00000000,cost_cluster:sol_paper_long,cost_survival,SOL,paper_long,repeat_conflict_split_required,repeat evidence conflicts; split source lanes before treating the cluster as alpha,repeat evidence is not one-sided enough for promotion,split SOL paper_long by source and label winners and losers separately
split_conflicting_sources-03-repeat-conflict-split-required-btc-paper-long,split_conflicting_sources,1570.00000000,cost_cluster:btc_paper_long,cost_survival,BTC,paper_long,repeat_conflict_split_required,repeat evidence conflicts; split source lanes before treating the cluster as alpha,repeat evidence is not one-sided enough for promotion,split BTC paper_long by source and label winners and losers separately
split_conflicting_sources-04-repeat-conflict-split-required-mon-paper-long,split_conflicting_sources,1560.00000000,cost_cluster:mon_paper_long,cost_survival,MON,paper_long,repeat_conflict_split_required,repeat evidence conflicts; split source lanes before treating the cluster as alpha,repeat evidence is not one-sided enough for promotion,split MON paper_long by source and label winners and losers separately
split_conflicting_sources-05-repeat-conflict-split-required-eth-paper-long,split_conflicting_sources,1550.00000000,cost_cluster:eth_paper_long,cost_survival,ETH,paper_long,repeat_conflict_split_required,repeat evidence conflicts; split source lanes before treating the cluster as alpha,repeat evidence is not one-sided enough for promotion,split ETH paper_long by source and label winners and losers separately
split_conflicting_sources-06-repeat-conflict-split-required-apt-paper-long,split_conflicting_sources,1540.00000000,cost_cluster:apt_paper_long,cost_survival,APT,paper_long,repeat_conflict_split_required,repeat evidence conflicts; split source lanes before treating the cluster as alpha,repeat evidence is not one-sided enough for promotion,split APT paper_long by source and label winners and losers separately
