plan_id,cluster_id,asset,cluster_decision,lane_opportunity,lane_bias,lane_side,lane_status,lane_priority_score,conflict_role,support_state,lane_action,resolution_action,resolution_score,source_lanes,cluster_score,evidence,required_record,next_step
split-first-hype-hype-volume-price-dislocation,hype_paper_long,HYPE,paper_long,hype_volume_price_dislocation,long,long,paper_repeat_cost_adjusted_probe,118.00000000,dominant_lane,paper_execution_gated,label_this_lane_separately,keep_for_lane_repeat,338.53902801,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",1005.39028009,"HYPE: name=Hyperliquid, rank=10, vol_mcap=0.05520152, price24h=6.84905547, price7d=-15.79949581, price30d=41.30665586; label=labeled_12h_pending_24h, dir1h=0.01957757, dir4h=0.04969039, source=hyperliquid; exec=paper_execution_probe, net4h_bps=486.07022700, spread_bps=1.69344100, depth_usage_250=0.00058295; paper_action=wait_for_checkpoint, outcome=pending, paper_bps=; fill_risk=cost_adjusted_paper_probe, net_after_cost_bps=514.02103278, spread_bps=0.15462762, depth_usage=0.00260762","lane-only entry, fill assumption, funding, spread/depth, stop, adverse excursion, 15m/1h mark",open one HYPE long lane-repeat for hype_volume_price_dislocation with explicit fill and stop notes
split-first-sol-sol-volume-price-dislocation,sol_paper_long,SOL,paper_long,sol_volume_price_dislocation,long,long,paper_repeat_cost_adjusted_probe,109.82364725,dominant_lane,paper_execution_gated,label_this_lane_separately,keep_for_lane_repeat,324.57668093,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",947.53033678,"SOL: name=Solana, rank=7, vol_mcap=0.08171328, price24h=3.86570735, price7d=-17.97339276, price30d=-28.98597124; label=labeled_12h_pending_24h, dir1h=0.00104408, dir4h=0.00641579, source=hyperliquid; exec=paper_execution_probe, net4h_bps=55.36224757, spread_bps=0.29565243, depth_usage_250=0.00095461; paper_action=promote_to_fill_and_risk_check, outcome=paper_mark_win, paper_bps=76.26670694; fill_risk=cost_adjusted_paper_probe, net_after_cost_bps=68.23647250, spread_bps=0.14990144, depth_usage=0.00087337","lane-only entry, fill assumption, funding, spread/depth, stop, adverse excursion, 15m/1h mark",open one SOL long lane-repeat for sol_volume_price_dislocation with explicit fill and stop notes
split-first-sol-sol-1971905-event-crypto-hedge,sol_paper_long,SOL,paper_long,sol_1971905_event_crypto_hedge,long,long,event_crypto_hedge_after_refresh_candidate,100.53006857,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,245.28310225,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",947.53033678,"SOL: event_market=1971905, action=paper_long, bias=risk_relief, gap=0.335000, edge_after_ask=0.330000, depth_5c=214008.090000, question=Strait of Hormuz traffic returns to normal by end of June?","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label SOL/sol_1971905_event_crypto_hedge alone before any repeat
split-first-hype-hype-maker-or-low-fee-small-execution-edge,hype_paper_long,HYPE,paper_long,hype_maker_or_low_fee_small_execution_edge,long,long,execution_low_fee_comparison_candidate,86.50000000,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,237.03902801,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",1005.39028009,"HYPE: mode=maker_or_low_fee_small, action=compare_taker_vs_low_fee, size=250, current_net_bps=514.02103278, mode_net_bps=520.09834659, spread_bps=0.15462762, depth_usage=0.00260762, source=current_paper_ticket_fill_risk_check.csv","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label HYPE/hype_maker_or_low_fee_small_execution_edge alone before any repeat
split-first-eth-eth-volume-price-dislocation,eth_paper_long,ETH,paper_long,eth_volume_price_dislocation,long,long,paper_repeat_cost_adjusted_probe,112.68521152,direction_conflict_lane,paper_execution_gated,label_this_lane_separately,use_as_conflict_control,236.66335467,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH: name=Ethereum, rank=2, vol_mcap=0.08098977, price24h=4.27965276, price7d=-15.19850104, price30d=-27.46213770; label=labeled_12h_pending_24h, dir1h=0.00363203, dir4h=0.00458470, source=hyperliquid; exec=paper_execution_probe, net4h_bps=35.58535110, spread_bps=1.76164890, depth_usage_250=0.00011234; paper_action=promote_to_fill_and_risk_check, outcome=paper_mark_win, paper_bps=106.12783307; fill_risk=cost_adjusted_paper_probe, net_after_cost_bps=96.85211515, spread_bps=1.18666192, depth_usage=0.00002368",negative-control label and reason this lane must not be merged into the cluster action,use ETH/eth_volume_price_dislocation as a conflict-control lane
split-first-hype-hype-taker-small-execution-edge,hype_paper_long,HYPE,paper_long,hype_taker_small_execution_edge,long,long,execution_taker_repeat_candidate,84.50000000,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,235.03902801,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",1005.39028009,"HYPE: mode=taker_small, action=repeat_taker_probe, size=250, current_net_bps=514.02103278, mode_net_bps=514.02103278, spread_bps=0.15462762, depth_usage=0.00260762, source=current_paper_ticket_fill_risk_check.csv","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label HYPE/hype_taker_small_execution_edge alone before any repeat
split-first-hype-hype-event-pressure-cluster,hype_paper_long,HYPE,paper_long,hype_event_pressure_cluster,long,long,two_source_event_pressure,81.95337378,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,232.49240179,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",1005.39028009,"HYPE: sources=attention_market, attention_price, events=2, newest_age_h=0.000000, top=attention_price_lag_candidate: rank=1; price_1h=0.19; price_24h=10.36; price_7d=-10.45; price_30d=48.27; volume_to_mcap=0.0617 || attention_funding_watch: rank=1, change=10.03822924","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label HYPE/hype_event_pressure_cluster alone before any repeat
split-first-hype-hype-attention-price-context,hype_paper_long,HYPE,paper_long,hype_attention_price_context,long,long,attention_price_lag_candidate,72.35337378,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,222.89240179,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",1005.39028009,"HYPE: name=Hyperliquid, rank=1, price24h=10.35547027, price7d=-10.44790161, price30d=48.26597086, vol_mcap=0.06171672","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label HYPE/hype_attention_price_context alone before any repeat
split-first-sol-solana-stablecoin-migration,sol_paper_long,SOL,paper_long,solana_stablecoin_migration,long,long,paper_chain_stablecoin_inflow_watch,82.02985522,dominant_lane,pending_label,label_this_lane_separately,label_before_lane_repeat,221.78288890,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",947.53033678,"Solana/SOL: supply=13099796300.64, day_change=454833106.44, week_change=930837276.44, week_pct=0.07649276, top_asset=USDC; label=pending_4h, dir1h=, dir4h=, dir12h=","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label SOL/solana_stablecoin_migration alone before any repeat
split-first-zec-public-hypertracker-example-zec-wallet-flow-actionability,zec_paper_long,ZEC,paper_long,public_hypertracker_example_zec_wallet_flow_actionability,long,long,wallet_position_follow_candidate,91.34085064,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,217.61509065,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"ZEC: wallet=public_hypertracker_example, source_coin=ZEC, fills=40, net_buy_usd=49.58980000, net_pnl_after_fees=443.76364400, position_notional=585.36720000, mark=442.700000000000","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label ZEC/public_hypertracker_example_zec_wallet_flow_actionability alone before any repeat
split-first-sol-sol-attention-price-context,sol_paper_long,SOL,paper_long,sol_attention_price_context,long,long,attention_price_lag_candidate,71.79989143,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,216.55292511,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",947.53033678,"SOL: name=Solana, rank=7, price24h=4.00738704, price7d=-15.62374907, price30d=-27.86692055, vol_mcap=0.08735556","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label SOL/sol_attention_price_context alone before any repeat
split-first-zec-zec-privacy-sector-rotation-context,zec_paper_long,ZEC,paper_long,zec_privacy_sector_rotation_context,long,long,sector_perp_repeat_candidate,87.96872170,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,214.24296171,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"ZEC: category=Privacy, category_action=sector_momentum_watch, change24=26.10040868, dir15=0.00024864, funding_support=1.02205333, hl_liquidity=343403144.86800009, okx_liquidity=805682392.59729993","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label ZEC/zec_privacy_sector_rotation_context alone before any repeat
split-first-zec-zec-quantum-resistant-sector-rotation-context,zec_paper_long,ZEC,paper_long,zec_quantum_resistant_sector_rotation_context,long,long,sector_perp_repeat_candidate,86.54981710,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,212.82405711,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"ZEC: category=Quantum-Resistant, category_action=sector_momentum_watch, change24=19.00588556, dir15=0.00024864, funding_support=1.02205333, hl_liquidity=343403144.86800009, okx_liquidity=805682392.59729993","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label ZEC/zec_quantum_resistant_sector_rotation_context alone before any repeat
split-first-zec-zec-zero-knowledge-zk-sector-rotation-context,zec_paper_long,ZEC,paper_long,zec_zero_knowledge_zk_sector_rotation_context,long,long,sector_perp_repeat_candidate,85.80397040,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,212.07821041,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"ZEC: category=Zero Knowledge (ZK), category_action=sector_momentum_watch, change24=15.27665202, dir15=0.00024864, funding_support=1.02205333, hl_liquidity=343403144.86800009, okx_liquidity=805682392.59729993","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label ZEC/zec_zero_knowledge_zk_sector_rotation_context alone before any repeat
split-first-zec-zec-privacy-coins-sector-rotation-context,zec_paper_long,ZEC,paper_long,zec_privacy_coins_sector_rotation_context,long,long,sector_perp_repeat_candidate,85.61270960,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,211.88694961,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"ZEC: category=Privacy Coins, category_action=sector_momentum_watch, change24=14.32034791, dir15=0.00024864, funding_support=1.02205333, hl_liquidity=343403144.86800009, okx_liquidity=805682392.59729993","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label ZEC/zec_privacy_coins_sector_rotation_context alone before any repeat
split-first-zec-zec-event-pressure-cluster,zec_paper_long,ZEC,paper_long,zec_event_pressure_cluster,long,long,two_source_event_pressure,82.15975395,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,208.43399396,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"ZEC: sources=attention_price, rss:decrypt, events=3, newest_age_h=0.000000, top=attention_price_lag_candidate: rank=2; price_1h=1.79; price_24h=1.55; price_7d=-17.49; price_30d=-25.35; volume_to_mcap=0.1211 || institutional_flow: Winklevoss-Backed Zcash Treasury Plunges Nearly 40% on ZEC Privacy Bug Concerns || narrative_event: AI Is Helping Discover Tech Vulnerabilities—And Zcash Is Just the Latest Example","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label ZEC/zec_event_pressure_cluster alone before any repeat
split-first-sol-sol-1962237-event-crypto-hedge,sol_paper_long,SOL,paper_long,sol_1962237_event_crypto_hedge,long,long,event_crypto_hedge_watch,63.31206503,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,208.06509871,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",947.53033678,"SOL: event_market=1962237, action=paper_long, bias=risk_relief, gap=0.085000, edge_after_ask=0.080000, depth_5c=81670.040000, question=US x Iran permanent peace deal by June 30, 2026?","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label SOL/sol_1962237_event_crypto_hedge alone before any repeat
