template_id,lane,status,priority_score,input_features,transformation,target_label,action_mapping,seed_opportunities,validation_check,failure_mode,research_reference,next_step
ofi_liquidity_state_factor,LOB / order-flow representation learning,needs_feature_history,104.78713569,"book depth imbalance, taker buy/sell ratio, depth slope, spread, premium, funding",rank cross-section by OFI shock conditioned on liquidity state; test continuation and fade buckets separately,"5m/15m/1h directional return after fees, spread, funding, and adverse excursion",long continuation only when OFI shock and depth support agree; short/fade when shock is crowded and depth thins,eth_l2_imbalance_probe;sui_l2_imbalance_probe;btc_l2_imbalance_probe;doge_l2_imbalance_probe;bnb_l2_imbalance_probe,purged walk-forward by day and symbol with explicit execution-cost stress,"gross-only microstructure edge disappears after spread, queue, and adverse-selection costs",https://www.frontiersin.org/journals/blockchain/articles/10.3389/fbloc.2026.1811716/full,extend Binance bookDepth walk-forward with OFI and queue/adverse-selection labels
crowded_positioning_unwind_factor,derivatives positioning / crowding,needs_cross_venue_labels,103.98000000,"open-interest change, funding, long/short ratios, premium, volume shock, impact spread",separate crowded continuation from crowded unwind by OI direction and funding sign,15m/1h/4h return plus funding PnL and fill-adjusted execution cost,follow crowded continuation only before squeeze signs; fade when OI unwinds into stretched funding,arb_count_long_short_ratio_short_opposite_intraday_paper_label;arb_count_top_long_short_ratio_short_opposite_intraday_paper_label;mrvl_okx_liquidation_oi_intensity;arb_count_long_short_ratio_repeat_intraday_derivatives_feature;arb_count_top_long_short_ratio_repeat_intraday_derivatives_feature,repeat across venues and require a neutral baseline against same-symbol momentum,OI notional reflects mark-price changes rather than fresh position changes,https://www.nature.com/articles/s41598-026-46271-w,"join Binance metrics, CoinGecko derivatives, and Hyperliquid OI labels into one repeat table"
source_diverse_news_shock_factor,news / social contagion,needs_duplicate_source_review,103.03834853,"timestamped event kind, source count, source independence, headline freshness, attention rank",score only non-duplicate multi-source shocks; compare immediate continuation versus delayed fade,15m/1h/4h directional return after spread and funding,paper long/short only when independent sources repeat and pending archive labels confirm,btc_event_pressure_cluster;mrvl_okx_intensity_liquidation_reversal;zec_event_pressure_cluster;hype_event_pressure_cluster;beat_okx_intensity_liquidation_continuation,"dedupe headlines, enforce timestamp control, and test non-overlapping event windows","headline is stale, duplicated, already priced, or sentiment is non-causal",https://www.dallasfed.org/research/papers/2026/wp2605,repeat BTC/ZEC gated news labels after fresh archives and add duplicate-source review
prediction_market_crypto_beta_factor,prediction markets / event beta,needs_event_beta_attribution,102.12160366,"prediction-market probability gap, bid/ask depth, event topic, crypto beta bucket, macro/news context",map event probability change to crypto risk-on/risk-off exposure with beta attribution,4h/12h/24h crypto basket return around probability refresh and event resolution,hedge BTC/ETH/SOL only when probability edge survives quote refresh and depth checks,btc_1971905_event_crypto_hedge;eth_1971905_event_crypto_hedge;sol_1971905_event_crypto_hedge;event_probability_actionability;mstr_btc_relative_value,"separate market PnL, crypto hedge PnL, resolution risk, and quote slippage","prediction market is stale, manipulated, illiquid, or unrelated to crypto beta",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6416881,label refreshed event-probability crypto hedges with beta attribution and resolution-risk notes
wallet_entity_follow_or_fade_factor,wallet / entity flow,needs_entity_quality,99.71631669,"public wallet fills, realized PnL, current position notional, symbol liquidity, copy-crowding proxy","classify entity flow as informed follow, forced unwind, or copy-crowded late signal",15m/1h/4h return after observed fill timestamp with funding and spread,follow high-quality fresh accumulation; fade stale crowded copy-flow after adverse move,public_hypertracker_example_eth_wallet_flow_actionability;public_hypertracker_example_zec_wallet_flow_actionability;public_hypertracker_example_apt_wallet_flow_actionability;eth_cross_modal_context;btc_cross_modal_context,"hold out wallets, require repeated timestamps, and compare against same-symbol momentum","survivorship bias, fake smart-wallet quality, or copied flow already exhausted",https://link.springer.com/article/10.1007/s10614-025-10940-1,collect independent wallet/entity quality labels before treating public wallet flow as alpha
chain_liquidity_migration_factor,on-chain liquidity / stablecoin migration,needs_asset_mapping,98.28119421,"stablecoin supply change, chain migration, DEX pool turnover, protocol TVL/fees, tradable token mapping",separate capital migration from price-chasing flow and map chain-level flow to liquid instruments,4h/12h/24h return of mapped tokens and chain beta basket after costs,long mapped assets only when liquidity inflow is fresh and tradable venue depth is adequate,solana_stablecoin_migration;dola_stablecoin_peg_stress;polygon_stablecoin_migration;ethereum_mainstreet_msusd_yield_peg;ethereum_ethena-usde_susde_yield_peg,time-control supply snapshots and compare mapped assets to broad crypto beta,"chain flow has no direct tradable asset, is stale, or reflects stablecoin rotation only",https://link.springer.com/article/10.1007/s44257-025-00046-1,build one chain-flow-to-asset map and label against liquid perps instead of generic chain names
vol_surface_dislocation_factor,options volatility,needs_hedged_pnl,97.52766346,"IV premium to realized vol, skew, term structure, option depth, spread, delta hedge interval",identify cheap convexity or rich downside skew conditioned on realized-vol regime,"option PnL plus delta-hedge PnL, fees, spread, and max loss",buy convexity only when premium-to-RV and exit depth pass; otherwise treat as hedge context,btc_20260626_medium_dated_delta_hedge_check;btc_20260619_short_dated_delta_hedge_check;btc_20260611_expiry_gamma_scalp_check;btc_long_atm_straddle_20260612_volatility_actionability;eth_long_atm_straddle_20260626_volatility_actionability,"simulate multi-leg fills, delta-hedge marks, margin, and exit-bid behavior",vol edge is a mark artifact or option spread/hedge cost consumes it,https://doi.org/10.1007/s00500-025-10980-7,paper-check short-dated BTC/ETH delta-hedge candidates with realized hedge PnL
cross_venue_funding_basis_factor,cross-exchange funding / basis,needs_real_funding_persistence,96.04870941,"predicted funding, venue pair, basis, hedge route, fee ceiling, depth, margin requirements","score net carry only when persistence, borrow/margin route, and hedge liquidity agree",8h/24h net funding plus hedge PnL and execution slippage,open carry pair only when fee ceiling and venue constraints leave durable positive edge,stable_hlperp_cash_or_spot_proxy_funding;layer_hlperp_cash_or_spot_proxy_funding;eth-12jun26_basis;btc-25sep26_basis;layer_hlperp_binperp_funding,"monitor real funding payment, hedge drift, and transfer/margin constraints",funding disappears before entry or venue/borrow/margin constraints dominate,https://link.springer.com/article/10.1007/s11704-025-41061-5,convert funding dislocation candidates into real funding-persistence paper records
liquidation_cascade_state_factor,liquidation flow,needs_event_replay,95.96000000,"forced-liquidation notional, OI ratio, imbalance, depth, funding, local return, venue",classify cascade continuation versus forced-liquidation rebound by intensity and depth recovery,5m/15m/1h return with stop/adverse-excursion and funding,trade only after cascade direction and rebound/follow-through labels repeat,jto_liquidation_repeat_15m;mrvl_okx_liquidation_oi_intensity;sndk_okx_liquidation_oi_intensity;mrvl_okx_intensity_liquidation_reversal;bsb_okx_liquidation_oi_intensity,"event replay with entry-delay, fill, stop, and adverse-excursion logging","liquidation print is the end of the move, not the start of exploitable continuation",https://arxiv.org/abs/2604.24590,repeat OKX liquidation intensity labels with event replay and stop behavior
protocol_fee_repricing_factor,protocol fundamentals,needs_repricing_window,92.50807591,"protocol fees, fee growth, valuation multiple, token liquidity, sector beta, unlock context",score fresh fee-growth surprise relative to valuation and sector beta,1d/3d/7d token return adjusted for sector and crypto beta,"long only when fee-growth surprise is fresh, liquid, and not explained by sector beta",crv_protocol_fee_growth;jup_protocol_fee_growth;hype_protocol_fee_growth;crv_protocol_fee_actionability;morpho_protocol_fee_growth,use lagged DeFiLlama snapshots and hold out protocol categories,"fundamental data is delayed, already priced, or token does not capture protocol economics",https://alphabench.cc/,label protocol fee-growth candidates against sector-adjusted token returns
