asset,action,label_gate_status,label_gate_score,label_observations,net_directional_return_1h_proxy,positive_directional_1h_rate,cross_venue_status,venue_count,actionable_venue_count,execution_gate_action,conservative_net_1h_bps,paper_outcome_1h,reason,next_step
ALT,long_carry_reversion_watch,crowding_context_only_needs_forward_labels,38.00000000,2,-0.00168720,0.00000000,cross_venue_context_only,4,0,,0.00000000,,cross-venue derivatives context exists but the unwind label is not established,label ALT continuation versus unwind separately before treating crowding as alpha
ASTER,short_carry_reversion_watch,crowding_context_only_needs_forward_labels,38.00000000,1,-0.00054382,0.00000000,cross_venue_context_only,29,0,,0.00000000,,cross-venue derivatives context exists but the unwind label is not established,label ASTER continuation versus unwind separately before treating crowding as alpha
ZRO,short_carry_reversion_watch,crowding_unwind_label_not_supported,23.52711000,6,-0.00047289,0.00000000,cross_venue_context_only,16,0,,0.00000000,,current forward labels do not support the unwind after funding and impact proxy,do not promote ZRO unwind; only revisit if a fresh snapshot creates positive forward labels
AAVE,long_carry_reversion_watch,crowding_unwind_label_not_supported,23.51883000,6,-0.00048117,0.00000000,cross_venue_context_ready_needs_labels,35,2,,0.00000000,,current forward labels do not support the unwind after funding and impact proxy,do not promote AAVE unwind; only revisit if a fresh snapshot creates positive forward labels
TRUMP,long_carry_reversion_watch,crowding_unwind_label_not_supported,23.41301000,6,-0.00058699,0.00000000,cross_venue_context_ready_needs_labels,19,3,,0.00000000,,current forward labels do not support the unwind after funding and impact proxy,do not promote TRUMP unwind; only revisit if a fresh snapshot creates positive forward labels
VIRTUAL,long_carry_reversion_watch,crowding_unwind_label_not_supported,23.27045000,6,-0.00072955,0.00000000,cross_venue_context_only,17,0,,0.00000000,,current forward labels do not support the unwind after funding and impact proxy,do not promote VIRTUAL unwind; only revisit if a fresh snapshot creates positive forward labels
XMR,short_carry_reversion_watch,crowding_unwind_label_not_supported,23.21817000,6,-0.00078183,0.00000000,cross_venue_context_only,21,1,,0.00000000,,current forward labels do not support the unwind after funding and impact proxy,do not promote XMR unwind; only revisit if a fresh snapshot creates positive forward labels
SEI,long_carry_reversion_watch,crowding_unwind_label_not_supported,23.10345000,6,-0.00089655,0.00000000,cross_venue_context_ready_needs_labels,16,4,,0.00000000,,current forward labels do not support the unwind after funding and impact proxy,do not promote SEI unwind; only revisit if a fresh snapshot creates positive forward labels
ETC,long_carry_reversion_watch,crowding_unwind_label_not_supported,22.68687000,6,-0.00131313,0.00000000,cross_venue_context_ready_needs_labels,23,3,,0.00000000,,current forward labels do not support the unwind after funding and impact proxy,do not promote ETC unwind; only revisit if a fresh snapshot creates positive forward labels
POPCAT,long_carry_reversion_watch,crowding_unwind_label_not_supported,22.65518000,6,-0.00134482,0.00000000,cross_venue_context_only,5,0,,0.00000000,,current forward labels do not support the unwind after funding and impact proxy,do not promote POPCAT unwind; only revisit if a fresh snapshot creates positive forward labels
SKY,long_carry_reversion_watch,crowding_unwind_label_not_supported,22.53479000,5,-0.00146521,0.00000000,cross_venue_context_only,12,0,,0.00000000,,current forward labels do not support the unwind after funding and impact proxy,do not promote SKY unwind; only revisit if a fresh snapshot creates positive forward labels
CFX,short_carry_reversion_watch,crowding_unwind_label_not_supported,22.43671000,6,-0.00156329,0.00000000,cross_venue_context_only,11,0,,0.00000000,,current forward labels do not support the unwind after funding and impact proxy,do not promote CFX unwind; only revisit if a fresh snapshot creates positive forward labels
