candidate_id,observed_at,family,instrument,decision,modern_input_type,modern_input_evidence,price_context,execution_context,primary_horizon,secondary_horizon,invalidation,promotion_blocker,status
liq-sahara-forced-flow-long-20260609T2332Z,2026-06-09T23:32:50Z,liquidation_oi,SAHARA,paper_long,liquidation_plus_oi,"OKX liq_to_oi=0.0137934845; forced_imbalance=-1.0000; intensity=144.7149","fresh OKX liquidation snapshot; price anchor not enough alone","OKX swap; depth and fee route still required",1h,4h,"SAHARA fails to rise after forced-flow shock or OKX depth/cost blocks fill","missing depth/fee/funding route",paper_candidate_current_input
liq-h-short-squeeze-20260609T2332Z,2026-06-09T23:32:50Z,liquidation_oi,H,paper_short,liquidation_plus_oi,"OKX liq_to_oi=0.0103267731; forced_imbalance=1.0000; intensity=110.2038","fresh OKX liquidation snapshot; not a price-only thesis","OKX swap; tradability on target venue must be confirmed",1h,4h,"H does not follow squeeze direction or instrument mapping/tradability fails","instrument mapping and execution route not yet confirmed",paper_candidate_current_input
liq-xau-forced-flow-long-20260609T2332Z,2026-06-09T23:32:50Z,liquidation_oi,XAU,paper_long,liquidation_plus_oi,"OKX liq_to_oi=0.0098352721; total_liq=1027803.6109; forced_imbalance=-1.0000","fresh OKX liquidation snapshot; macro proxy exposure","OKX swap; check whether this is tradable in intended account",1h,4h,"XAU fails to move with forced-flow shock or execution route is blocked","account/venue availability and depth still unknown",paper_candidate_current_input
liq-zec-forced-flow-long-20260609T2332Z,2026-06-09T23:32:50Z,liquidation_oi,ZEC,paper_long,liquidation_plus_oi,"OKX liq_to_oi=0.0040744140; total_liq=230133.9442; forced_imbalance=-0.8632","fresh OKX liquidation input, separate from old ZEC funding story","OKX swap; compare against HL depth before any action",1h,4h,"ZEC forced-flow does not outperform BTC/ETH or depth/cost is adverse","prior ZEC reversal makes promotion impossible without fresh 1h support",paper_candidate_current_input
liq-doge-forced-flow-long-20260609T2332Z,2026-06-09T23:32:50Z,liquidation_oi,DOGE,paper_long,liquidation_plus_oi,"OKX liq_to_oi=0.0036385583; total_liq=234780.6998; forced_imbalance=-1.0000","fresh OKX liquidation input","OKX swap; broad memecoin beta risk",1h,4h,"DOGE fails to follow forced-flow shock or spread/funding wipes out edge","needs depth, funding PnL, and beta attribution",paper_candidate_current_input
liq-eth-forced-flow-long-20260609T2332Z,2026-06-09T23:32:50Z,liquidation_oi,ETH,paper_long,liquidation_plus_oi,"OKX liq_to_oi=0.0012681389; total_liq=1398041.9130; forced_imbalance=-0.9994","fresh OKX liquidation input; lower intensity than top shocks","large venue depth likely but still must be checked",1h,4h,"ETH does not outperform BTC or rates/vol context contradicts long beta","low intensity relative to SAHARA/H/ZEC",paper_candidate_current_input
micro-near-aligned-pressure-long-20260609T2332Z,2026-06-09T23:32:50Z,microstructure,NEAR,paper_long,order_flow_imbalance,"HL book_imbalance=0.8977; trade_imbalance=0.8697; pressure=0.8837; trades=10","mid=2.17365; fresh order-flow state","spread_bps=3.2204; depth10=5570.20; taker execution only for paper",1h,4h,"NEAR pressure reverses or spread/depth cannot support the intended size","depth is thin for anything beyond small paper size",paper_candidate_current_input
micro-op-aligned-pressure-long-20260609T2332Z,2026-06-09T23:32:50Z,microstructure,OP,paper_long,order_flow_imbalance,"HL book_imbalance=0.7640; trade_imbalance=0.6897; pressure=0.7268","mid=0.096415; fresh order-flow state","spread_bps=7.2603; depth10=1867.42; severe cost warning",1h,4h,"OP pressure does not survive after spread/cost or depth collapses","spread/depth blocks promotion even if direction works",paper_candidate_current_input_with_cost_warning
micro-btc-aligned-pressure-long-20260609T2332Z,2026-06-09T23:32:50Z,microstructure,BTC,paper_long,order_flow_imbalance,"HL book_imbalance=0.4178; trade_imbalance=1.0000; pressure=0.7089","mid=61684.5; fresh order-flow state","spread_bps=0.1621; depth10=3889727.11",1h,4h,"BTC fails to follow aligned pressure or macro/rates event dominates","must be separated from generic market beta",paper_candidate_current_input
micro-ada-aligned-pressure-short-20260609T2332Z,2026-06-09T23:32:50Z,microstructure,ADA,paper_short,order_flow_imbalance,"HL book_imbalance=-0.1299; trade_imbalance=-0.9179; pressure=-0.5239","mid=0.16539; fresh order-flow state","spread_bps=1.2093; depth10=70244.11",1h,4h,"ADA pressure flips positive or short underperforms BTC/ETH-relative after costs","must avoid treating one trade window as durable alpha",paper_candidate_current_input
micro-sui-aligned-pressure-long-20260609T2332Z,2026-06-09T23:32:50Z,microstructure,SUI,paper_long,order_flow_imbalance,"HL book_imbalance=0.0339; trade_imbalance=0.9954; pressure=0.5146","mid=0.749135; fresh order-flow state","spread_bps=2.0023; depth10=112964.31",1h,4h,"SUI taker pressure fades or long fails after cost proxy","book support is weak; mostly taker-flow signal",paper_candidate_current_input
micro-hype-divergent-flow-long-20260609T2332Z,2026-06-09T23:32:50Z,microstructure,HYPE,paper_long,book_trade_divergence,"HL book_imbalance=-0.1975; trade_imbalance=0.6452; pressure=0.2238","mid=57.6215; fresh order-flow state","spread_bps=0.1735; depth10=100045.33",1h,4h,"HYPE book pressure overwhelms taker flow or prior relative weakness persists","book/trade divergence prevents direct promotion",paper_candidate_current_input_with_conflict
